--- Starting MAE Training (120 Epochs max) ---
MAE Epoch 88/120 | Train Loss: 0.0748 | Val Loss: 0.0743 | LR: 5.26e-06
MAE Epoch 89/120 | Train Loss: 0.0748 | Val Loss: 0.0743 | LR: 4.95e-06
MAE Epoch 90/120 | Train Loss: 0.0748 | Val Loss: 0.0742 | LR: 4.65e-06
MAE Epoch 91/120 | Train Loss: 0.0748 | Val Loss: 0.0742 | LR: 4.36e-06
MAE Epoch 92/120 | Train Loss: 0.0747 | Val Loss: 0.0741 | LR: 4.08e-06
MAE Epoch 93/120 | Train Loss: 0.0747 | Val Loss: 0.0741 | LR: 3.81e-06
MAE Epoch 94/120 | Train Loss: 0.0746 | Val Loss: 0.0741 | LR: 3.54e-06
MAE Epoch 95/120 | Train Loss: 0.0747 | Val Loss: 0.0742 | LR: 3.29e-06
MAE Epoch 96/120 | Train Loss: 0.0746 | Val Loss: 0.0741 | LR: 3.04e-06
MAE Epoch 97/120 | Train Loss: 0.0746 | Val Loss: 0.0741 | LR: 2.80e-06
MAE Epoch 98/120 | Train Loss: 0.0746 | Val Loss: 0.0741 | LR: 2.57e-06
MAE Epoch 99/120 | Train Loss: 0.0746 | Val Loss: 0.0741 | LR: 2.35e-06
MAE Epoch 100/120 | Train Loss: 0.0746 | Val Loss: 0.0741 | LR: 2.13e-06
MAE Epoch 101/120 | Train Loss: 0.0747 | Val Loss: 0.0741 | LR: 1.93e-06
MAE Epoch 102/120 | Train Loss: 0.0745 | Val Loss: 0.0741 | LR: 1.74e-06
MAE Epoch 103/120 | Train Loss: 0.0746 | Val Loss: 0.0741 | LR: 1.55e-06
MAE Epoch 104/120 | Train Loss: 0.0745 | Val Loss: 0.0740 | LR: 1.38e-06
MAE Epoch 105/120 | Train Loss: 0.0746 | Val Loss: 0.0740 | LR: 1.21e-06
MAE Epoch 106/120 | Train Loss: 0.0746 | Val Loss: 0.0741 | LR: 1.06e-06
MAE Epoch 107/120 | Train Loss: 0.0745 | Val Loss: 0.0740 | LR: 9.14e-07
MAE Epoch 108/120 | Train Loss: 0.0745 | Val Loss: 0.0740 | LR: 7.80e-07
MAE Epoch 109/120 | Train Loss: 0.0745 | Val Loss: 0.0740 | LR: 6.56e-07
MAE Epoch 110/120 | Train Loss: 0.0745 | Val Loss: 0.0740 | LR: 5.43e-07
MAE Epoch 111/120 | Train Loss: 0.0745 | Val Loss: 0.0740 | LR: 4.40e-07
MAE Epoch 112/120 | Train Loss: 0.0744 | Val Loss: 0.0741 | LR: 3.48e-07
MAE Epoch 113/120 | Train Loss: 0.0745 | Val Loss: 0.0741 | LR: 2.67e-07
MAE Epoch 114/120 | Train Loss: 0.0745 | Val Loss: 0.0739 | LR: 1.96e-07
MAE Epoch 115/120 | Train Loss: 0.0746 | Val Loss: 0.0740 | LR: 1.36e-07
MAE Epoch 116/120 | Train Loss: 0.0745 | Val Loss: 0.0739 | LR: 8.73e-08
MAE Epoch 117/120 | Train Loss: 0.0745 | Val Loss: 0.0740 | LR: 4.91e-08
MAE Epoch 118/120 | Train Loss: 0.0746 | Val Loss: 0.0740 | LR: 2.18e-08
MAE Epoch 119/120 | Train Loss: 0.0745 | Val Loss: 0.0740 | LR: 5.46e-09
MAE Epoch 120/120 | Train Loss: 0.0745 | Val Loss: 0.0740 | LR: 0.00e+00
